T_air,sol_dir,sol_diff
2.0,5,61
1.3,0,4
1.0,0,0
0.7,0,0
0.5,0,0
0.5,0,0
0.4,0,0
0.4,0,0
0.5,0,0
0.5,0,0
0.2,0,0
-0.2,0,0
-0.5,0,0
-1.0,0,0
-1.5,0,0
-1.4,3,15
-0.9,39,79
0.4,42,139
1.5,33,183
2.6,46,217
3.5,68,236
4.8,105,233
4.7,52,184
4.2,39,131
3.8,15,67
3.5,0,7
3.0,0,0
2.7,0,0
2.7,0,0
2.8,0,0
2.1,0,0
1.6,0,0
0.7,0,0
0.6,0,0
0.5,0,0
0.5,0,0
0.8,0,0
1.1,0,0
1.4,0,0
1.5,0,5
1.9,0,29
2.6,0,50
3.5,0,75
4.2,0,79
4.8,0,104
5.4,0,91
5.8,0,87
6.1,0,82
6.3,0,18
6.2,0,0
6.0,0,0
5.9,0,0
5.7,0,0
5.8,0,0
6.0,0,0
6.1,0,0
6.3,0,0
6.0,0,0
5.9,0,0
5.6,0,0
5.5,0,0
5.0,0,0
4.6,0,0
3.6,19,14
4.3,117,58
6.2,231,80
8.6,325,94
10.7,388,102
11.8,402,107
12.7,375,106
13.1,301,101
12.8,191,88
11.4,68,62
9.4,3,13
8.7,0,0
8.5,0,0
7.8,0,0
8.0,0,0
7.5,0,0
7.2,0,0
6.3,0,0
6.6,0,0
6.6,0,0
7.2,0,0
7.0,0,0
6.1,0,0
5.2,0,0
4.1,19,15
5.2,126,57
7.5,236,80
7.9,220,136
8.4,36,193
9.6,138,209
9.9,255,162
10.6,176,154
10.7,146,108
9.7,81,60
7.6,8,13
6.2,0,0
5.3,0,0
4.9,0,0
4.2,0,0
4.7,0,0
5.1,0,0
5.0,0,0
5.2,0,0
5.5,0,0
6.0,0,0
6.5,0,0
6.4,0,0
6.2,0,0
5.5,0,12
5.5,0,53
6.2,0,57
6.0,0,55
6.4,0,81
6.6,0,74
7.0,0,82
7.0,0,74
7.2,0,65
7.1,0,24
7.2,0,3
7.4,0,0
7.6,0,0
7.3,0,0
6.8,0,0
6.2,0,0
5.8,0,0
5.7,0,0
6.1,0,0
6.6,0,0
7.1,0,0
7.3,0,0
7.9,0,0
8.4,0,0
4.7,0,7
4.9,0,50
5.3,2,127
6.4,3,156
7.1,0,109
7.9,0,49
7.7,0,63
7.2,0,82
7.4,0,56
6.8,0,28
6.9,0,2
6.5,0,0
